TimeRelative,TimeNanos,NumSatellites,Cn0DbHz,AccumulatedDeltaRangeMeters,CarrierFrequencyHz,lat,lon,altitude,nmea_time
41.0,4555908000000,13,30.338461538461537,66029.19104755289,1452660036.1538463,37.62596149,-122.42573302,43.91,17:57:17+00:00
42.0,4556908000000,12,30.816666666666666,81945.94781682004,1475677535.0,37.625957701666664,-122.42576114,43.93,17:57:18+00:00
43.0,4557908000000,12,31.05,80495.99332919472,1475677535.0,37.62595539,-122.425783865,43.94,17:57:19+00:00
44.0,4558908000000,13,30.215384615384615,74296.5634416167,1452660036.1538463,37.625953151666664,-122.42580202333333,43.95,17:57:20+00:00
45.0,4559908000000,13,31.299999999999997,74288.67283455277,1452660036.1538463,37.625950681666666,-122.42582271666667,43.97,17:57:21+00:00
46.0,4560908000000,13,31.761538461538464,15141.404999034112,1452660036.1538463,37.62594729166667,-122.42585137166667,44.0,17:57:22+00:00
47.0,4561908000000,13,31.95384615384615,24608.07104784194,1452660036.1538463,37.625942413333334,-122.42589919,44.03,17:57:23+00:00
48.0,4562908000000,13,32.13846153846154,14999.438444463913,1452660036.1538463,37.62593659,-122.42596597833334,44.05,17:57:24+00:00
49.0,4563908000000,13,31.0,24571.05165891899,1452660036.1538463,37.62593017333333,-122.42604103666666,44.06,17:57:25+00:00
50.0,4564908000000,13,30.476923076923075,74261.88148513339,1452660036.1538463,37.62592538,-122.42610239833333,44.1,17:57:26+00:00
51.0,4565908000000,13,29.83076923076923,81302.70224952325,1452660036.1538463,37.62592332,-122.42613815333333,44.16,17:57:27+00:00
52.0,4566908000000,13,31.076923076923077,74250.21662586927,1452660036.1538463,37.62592251666667,-122.42615846,44.19,17:57:28+00:00
53.0,4567908000000,13,30.523076923076925,25559.522373662367,1452660036.1538463,37.625922115,-122.42616728,44.21,17:57:29+00:00
54.0,4568908000000,13,30.83076923076923,65410.59331086969,1452660036.1538463,37.62592149333334,-122.42617772833333,44.22,17:57:30+00:00
55.0,4569908000000,14,29.764285714285712,54038.112769993306,1461428607.142857,37.6259207,-122.42619192333333,44.23,17:57:31+00:00
56.0,4570908000000,13,31.03846153846154,48142.56726691671,1483350034.6153846,37.625921165,-122.42620869,44.26,17:57:32+00:00
57.0,4571908000000,14,29.5,53951.33190933267,1461428607.142857,37.62592540666667,-122.42622713,44.26,17:57:33+00:00
58.0,4572908000000,13,30.715384615384615,64105.66716081882,1452660036.1538463,37.625935203333334,-122.42624388333333,44.26,17:57:34+00:00
59.0,4573908000000,13,30.115384615384617,76414.28255640043,1483350034.6153846,37.625949895,-122.42625583166667,44.21,17:57:35+00:00
60.0,4574908000000,14,28.957142857142856,61514.52676267961,1461428607.142857,37.625968691666664,-122.42626496,44.13,17:57:36+00:00
61.0,4575908000000,13,29.053846153846152,66844.91768348918,1452660036.1538463,37.62599453333333,-122.42627347666667,44.01,17:57:37+00:00
62.0,4576908000000,14,27.99285714285714,65326.18655854531,1461428607.142857,37.626040445,-122.42628372833333,43.8,17:57:38+00:00
63.0,4577908000000,14,28.157142857142855,24808.202403021718,1461428607.142857,37.626105855,-122.42629353833334,43.55,17:57:39+00:00
64.0,4578908000000,13,27.792307692307695,76643.84255999845,1452660036.1538463,37.626181538333334,-122.426303605,43.25,17:57:40+00:00
65.0,4579908000000,14,27.521428571428572,-81606.97092722038,1461428607.142857,37.626258746666664,-122.42631607,42.98,17:57:41+00:00
66.0,4580908000000,13,28.62307692307692,-20323.549325449632,1483350034.6153846,37.62632823333333,-122.42632778333333,42.75,17:57:42+00:00
67.0,4581908000000,11,30.1,-105660.07173182043,1466610035.4545455,37.626382935,-122.42633629833334,42.63,17:57:43+00:00
68.0,4582908000000,12,29.633333333333336,-42850.87212456564,1475677535.0,37.626421385,-122.426337845,42.56,17:57:44+00:00
69.0,4583908000000,12,29.775000000000002,-76117.28660804995,1475677535.0,37.62645258333333,-122.42632881166666,42.53,17:57:45+00:00
70.0,4584908000000,12,29.833333333333332,-41382.37213695588,1475677535.0,37.62647401666667,-122.426305535,42.45,17:57:46+00:00
71.0,4585908000000,11,31.20909090909091,-279765.6917053177,1466610035.4545455,37.626485965,-122.42627135666666,42.42,17:57:47+00:00
72.0,4586908000000,12,29.7,-41475.7660097978,1475677535.0,37.62649373,-122.42621813,42.41,17:57:48+00:00
73.0,4587908000000,11,31.045454545454547,-278174.8891661559,1466610035.4545455,37.62650022,-122.426150135,42.38,17:57:49+00:00
74.0,4588908000000,11,31.136363636363637,-104471.65192848575,1466610035.4545455,37.62650529333333,-122.42608378833333,42.37,17:57:50+00:00
75.0,4589908000000,11,31.481818181818184,-104538.18280945712,1466610035.4545455,37.62650942333333,-122.42603139166667,42.36,17:57:51+00:00
76.0,4590908000000,12,30.099999999999998,-95907.49659959832,1442430036.6666667,37.62651064833334,-122.426014405,42.36,17:57:52+00:00
77.0,4591908000000,13,27.86923076923077,-97305.761726658,1483350034.6153846,37.62651062333333,-122.42601464666667,42.37,17:57:53+00:00
78.0,4592908000000,12,29.525000000000002,-76268.23948785289,1475677535.0,37.62651061,-122.42601467,42.37,17:57:54+00:00
79.0,4593908000000,13,29.346153846153847,-88820.41173173586,1452660036.1538463,37.62651068833333,-122.42601338333333,42.37,17:57:55+00:00
80.0,4594908000000,12,30.625,-96326.50127017147,1475677535.0,37.62651132166667,-122.42600422,42.37,17:57:56+00:00
81.0,4595908000000,14,28.735714285714288,-81397.47530503201,1461428607.142857,37.626512913333336,-122.425979645,42.37,17:57:57+00:00
82.0,4596908000000,13,29.4,-87595.12824072239,1452660036.1538463,37.62651582833333,-122.42593316,42.34,17:57:58+00:00
83.0,4597908000000,12,29.383333333333336,66887.06655011198,1475677535.0,37.62652038666667,-122.425862975,42.23,17:57:59+00:00
84.0,4598908000000,11,30.29090909090909,-82063.98468863624,1466610035.4545455,37.62652617,-122.42578877833333,42.12,17:58:00+00:00
85.0,4599908000000,12,29.991666666666664,3693.344088041573,1475677535.0,37.62653135666667,-122.42572424833334,42.03,17:58:01+00:00
86.0,4600908000000,11,31.318181818181817,3962.9036279723937,1466610035.4545455,37.62653521833333,-122.42568086166666,41.96,17:58:02+00:00
87.0,4601908000000,13,28.930769230769233,61268.81194914154,1483350034.6153846,37.62653615166667,-122.42567019,41.94,17:58:03+00:00
88.0,4602908000000,14,29.207142857142856,-83043.57315895772,1461428607.142857,37.62653614333333,-122.42567012833334,41.94,17:58:04+00:00
89.0,4603908000000,14,29.349999999999998,-3910.40801368697,1461428607.142857,37.626536136666665,-122.42567012,41.94,17:58:05+00:00
90.0,4604908000000,13,31.200000000000003,-4826.413497204606,1483350034.6153846,37.626536136666665,-122.42567012,41.94,17:58:06+00:00
91.0,4605908000000,14,29.442857142857143,-24212.093119470435,1461428607.142857,37.626536135,-122.42567012,41.94,17:58:07+00:00
92.0,4606908000000,12,31.441666666666666,-28355.711539336713,1475677535.0,37.62653613333333,-122.42567012,41.94,17:58:08+00:00
93.0,4607908000000,13,30.33076923076923,-25944.71492030536,1483350034.6153846,37.62653613,-122.42567012,41.94,17:58:09+00:00
94.0,4608908000000,13,31.06153846153846,-27859.17001670126,1483350034.6153846,37.626536128333335,-122.42567012,41.94,17:58:10+00:00
95.0,4609908000000,13,30.907692307692308,-27598.72119591224,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:58:11+00:00
96.0,4610908000000,13,29.892307692307693,-26647.968001416994,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:58:12+00:00
97.0,4611908000000,14,29.078571428571426,-23963.431840142584,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:58:13+00:00
98.0,4612908000000,13,30.853846153846156,-26769.542346311304,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:58:14+00:00
99.0,4613908000000,14,29.585714285714285,-24532.99124975978,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:58:15+00:00
100.0,4614908000000,13,30.746153846153845,-26966.609728056006,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:58:16+00:00
101.0,4615908000000,13,30.23076923076923,-27778.820131198558,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:58:17+00:00
102.0,4616908000000,13,29.638461538461538,-26862.401818300455,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:58:18+00:00
103.0,4617908000000,12,30.400000000000002,-29217.657494995336,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:19+00:00
104.0,4618908000000,14,29.95,-25818.55049395957,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:58:20+00:00
105.0,4619908000000,14,31.814285714285713,-93581.70933063448,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:58:21+00:00
106.0,4620908000000,14,31.357142857142858,-95140.45228183213,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:58:22+00:00
107.0,4621908000000,14,32.07857142857143,-96152.56622670057,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:58:23+00:00
108.0,4622908000000,14,33.07857142857143,-95692.3816209368,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:58:24+00:00
109.0,4623908000000,13,34.73076923076923,-44440.30348893062,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:58:25+00:00
110.0,4624908000000,14,33.83571428571428,-95441.30764052669,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:58:26+00:00
111.0,4625908000000,14,30.957142857142856,-64322.34160992092,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:58:27+00:00
112.0,4626908000000,13,31.26153846153846,-69934.43185970988,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:58:28+00:00
113.0,4627908000000,12,31.40833333333333,-21134.488880651643,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:29+00:00
114.0,4628908000000,13,29.569230769230767,-219255.08932439698,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:58:30+00:00
115.0,4629908000000,12,30.96666666666667,-237600.64233915022,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:31+00:00
116.0,4630908000000,11,29.972727272727273,-258976.19094089034,1502880033.6363637,37.626536126666664,-122.42567012,41.94,17:58:32+00:00
117.0,4631908000000,12,28.716666666666665,-239049.78136770788,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:33+00:00
118.0,4632908000000,12,28.991666666666664,-74704.44910125794,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:34+00:00
119.0,4633908000000,12,30.016666666666666,-259651.28711128913,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:35+00:00
120.0,4634908000000,12,30.491666666666664,-97775.28251841548,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:36+00:00
121.0,4635908000000,12,29.608333333333334,-259829.67447550365,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:37+00:00
122.0,4636908000000,12,28.724999999999998,-97838.6068654991,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:38+00:00
123.0,4637908000000,12,28.675,-261948.45174204675,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:39+00:00
124.0,4638908000000,12,28.46666666666667,-99897.5079533398,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:40+00:00
125.0,4639908000000,12,28.599999999999998,-262230.54202015145,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:41+00:00
126.0,4640908000000,12,28.40833333333333,-98106.41612173046,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:42+00:00
127.0,4641908000000,12,28.233333333333334,-260542.3292952989,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:43+00:00
128.0,4642908000000,12,28.516666666666666,-260442.4641560909,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:44+00:00
129.0,4643908000000,12,28.724999999999998,-96061.05610674336,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:45+00:00
130.0,4644908000000,12,28.541666666666668,-258614.11276964025,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:46+00:00
131.0,4645908000000,12,28.366666666666664,-258689.1367814522,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:47+00:00
132.0,4646908000000,12,28.516666666666666,-258764.24902306846,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:48+00:00
133.0,4647908000000,12,28.558333333333334,-260873.08795102825,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:49+00:00
134.0,4648908000000,12,28.650000000000002,-260959.92995493827,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:50+00:00
135.0,4649908000000,11,29.481818181818184,-287595.47076590505,1502880033.6363637,37.626536126666664,-122.42567012,41.94,17:58:51+00:00
136.0,4650908000000,12,28.8,-263768.8052490865,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:52+00:00
137.0,4651908000000,12,29.008333333333336,-261218.55878493327,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:53+00:00
138.0,4652908000000,12,29.241666666666664,-261304.0193986344,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:54+00:00
139.0,4653908000000,12,29.78333333333333,-98342.00651426334,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:55+00:00
140.0,4654908000000,12,30.09166666666667,-261472.99322410978,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:56+00:00
141.0,4655908000000,12,27.71666666666667,-261557.8738136658,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:57+00:00
142.0,4656908000000,12,29.241666666666664,-261644.76659279573,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:58+00:00
143.0,4657908000000,12,29.09166666666667,-98455.94440868929,1475677535.0,37.626536126666664,-122.42567012,41.94,17:58:59+00:00
144.0,4658908000000,12,29.058333333333334,-261817.20417618053,1475677535.0,37.626536126666664,-122.42567012,41.94,17:59:00+00:00
145.0,4659908000000,12,28.233333333333334,-98514.25319876808,1475677535.0,37.626536126666664,-122.42567012,41.94,17:59:01+00:00
146.0,4660908000000,13,27.215384615384615,-239828.40206934183,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:59:02+00:00
147.0,4661908000000,11,28.88181818181818,-259997.8136247272,1502880033.6363637,37.626536126666664,-122.42567012,41.94,17:59:03+00:00
148.0,4662908000000,12,27.916666666666668,-236164.55474762802,1475677535.0,37.626536126666664,-122.42567012,41.94,17:59:04+00:00
149.0,4663908000000,11,29.218181818181815,-283676.2687631626,1502880033.6363637,37.626536126666664,-122.42567012,41.94,17:59:05+00:00
150.0,4664908000000,12,28.05,-260109.803561621,1475677535.0,37.626536126666664,-122.42567012,41.94,17:59:06+00:00
151.0,4665908000000,11,28.0,-272543.5926075035,1502880033.6363637,37.626536126666664,-122.42567012,41.94,17:59:07+00:00
152.0,4666908000000,12,28.066666666666666,-252144.27703792017,1475677535.0,37.626536126666664,-122.42567012,41.94,17:59:08+00:00
153.0,4667908000000,12,28.916666666666668,-112464.02100278914,1475677535.0,37.626536126666664,-122.42567012,41.94,17:59:09+00:00
154.0,4668908000000,12,29.375,-276449.46386537614,1475677535.0,37.626536126666664,-122.42567012,41.94,17:59:10+00:00
155.0,4669908000000,11,29.545454545454547,-301733.94956452516,1466610035.4545455,37.626536126666664,-122.42567012,41.94,17:59:11+00:00
156.0,4670908000000,12,30.833333333333332,-276704.44835081295,1475677535.0,37.626536126666664,-122.42567012,41.94,17:59:12+00:00
157.0,4671908000000,13,28.26153846153846,-96869.57751769935,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:13+00:00
158.0,4672908000000,13,29.084615384615386,-30449.757178821295,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:59:14+00:00
159.0,4673908000000,13,30.27692307692308,-81555.01985780195,1483350034.6153846,37.626536126666664,-122.42567012,41.94,17:59:15+00:00
160.0,4674908000000,13,30.83076923076923,-117389.83546986381,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:16+00:00
161.0,4675908000000,13,31.26923076923077,-81498.01203771328,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:17+00:00
162.0,4676908000000,13,31.76153846153846,-81470.30671658897,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:18+00:00
163.0,4677908000000,13,30.792307692307695,-29113.51342389063,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:19+00:00
164.0,4678908000000,12,31.46666666666667,-92337.82242678672,1475677535.0,37.626536126666664,-122.42567012,41.94,17:59:20+00:00
165.0,4679908000000,13,31.423076923076923,-108108.76222315273,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:21+00:00
166.0,4680908000000,13,32.26153846153846,-81363.52238998456,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:22+00:00
167.0,4681908000000,13,32.676923076923075,-120071.76873902141,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:23+00:00
168.0,4682908000000,13,33.284615384615385,-61111.665214036075,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:24+00:00
169.0,4683908000000,13,33.16153846153846,-61175.24502879979,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:25+00:00
170.0,4684908000000,14,31.707142857142856,-56882.34810102609,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:26+00:00
171.0,4685908000000,13,33.207692307692305,-65470.74777524044,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:27+00:00
172.0,4686908000000,13,33.276923076923076,-120458.9198784587,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:28+00:00
173.0,4687908000000,13,32.207692307692305,-120535.37345458461,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:29+00:00
174.0,4688908000000,14,31.771428571428572,-54991.78943468492,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:30+00:00
175.0,4689908000000,13,33.96923076923077,-120689.81845732288,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:31+00:00
176.0,4690908000000,14,31.349999999999998,-112140.35973121172,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:32+00:00
177.0,4691908000000,14,30.785714285714285,-114510.85154653374,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:33+00:00
178.0,4692908000000,13,32.09230769230769,-120921.57132680542,1452660036.1538463,37.626536128333335,-122.42567012,41.94,17:59:34+00:00
179.0,4693908000000,14,31.235714285714288,-97121.3722922943,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:35+00:00
180.0,4694908000000,14,31.142857142857142,-112812.89062343525,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:36+00:00
181.0,4695908000000,14,31.35,-97589.43932752774,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:37+00:00
182.0,4696908000000,14,31.085714285714285,-112572.49228260606,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:38+00:00
183.0,4697908000000,13,31.99230769230769,-109457.64034504961,1483350034.6153846,37.626536128333335,-122.42567012,41.94,17:59:39+00:00
184.0,4698908000000,14,31.75,-102240.80580567964,1461428607.142857,37.626536128333335,-122.42567012,41.94,17:59:40+00:00
185.0,4699908000000,14,31.942857142857143,-101781.20624107146,1461428607.142857,37.626536128333335,-122.42567012,41.94,17:59:41+00:00
186.0,4700908000000,14,31.99285714285714,-112864.92865857575,1461428607.142857,37.626536128333335,-122.42567012,41.94,17:59:42+00:00
187.0,4701908000000,14,32.06428571428571,-112938.50973486788,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:43+00:00
188.0,4702908000000,14,32.01428571428571,-113011.70993066636,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:44+00:00
189.0,4703908000000,14,31.957142857142856,-113084.22769277309,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:45+00:00
190.0,4704908000000,14,31.557142857142857,-113157.20388517571,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:46+00:00
191.0,4705908000000,14,31.714285714285715,-58135.2793929652,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:47+00:00
192.0,4706908000000,14,31.74285714285714,-58196.23129170617,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:48+00:00
193.0,4707908000000,13,32.84615384615385,-122095.44393389493,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:49+00:00
194.0,4708908000000,14,32.59285714285714,-113445.81529249331,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:50+00:00
195.0,4709908000000,14,32.392857142857146,-113516.72893569028,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:51+00:00
196.0,4710908000000,14,32.42142857142857,-113587.84332917591,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:52+00:00
197.0,4711908000000,14,32.91428571428572,-113659.45045024212,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:53+00:00
198.0,4712908000000,14,32.47142857142857,-113732.49597381345,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:54+00:00
199.0,4713908000000,14,32.65714285714286,-112557.06518560012,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:55+00:00
200.0,4714908000000,14,32.85,-113875.87928790196,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:56+00:00
201.0,4715908000000,14,33.5,-113947.92754824033,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:57+00:00
202.0,4716908000000,13,33.09230769230769,-125216.6469063515,1452660036.1538463,37.626536126666664,-122.42567012,41.94,17:59:58+00:00
203.0,4717908000000,14,30.564285714285713,-120186.60793318742,1461428607.142857,37.626536126666664,-122.42567012,41.94,17:59:59+00:00
204.0,4718908000000,14,30.464285714285715,-97139.40639005903,1461428607.142857,37.626536126666664,-122.42567012,41.94,18:00:00+00:00
205.0,4719908000000,13,30.93846153846154,-132113.14851115254,1452660036.1538463,37.626536126666664,-122.42567012,41.94,18:00:01+00:00
206.0,4720908000000,14,31.271428571428572,-130710.91015787171,1461428607.142857,37.626536126666664,-122.42567012166667,41.95,18:00:02+00:00
207.0,4721908000000,14,31.385714285714283,-116884.60443422817,1461428607.142857,37.626536135,-122.42567009333334,41.95,18:00:03+00:00
208.0,4722908000000,13,33.76923076923077,-123269.55802392613,1452660036.1538463,37.626536165,-122.42566976666667,41.94,18:00:04+00:00
209.0,4723908000000,14,33.55,-114553.7155559636,1461428607.142857,37.62653616666667,-122.42566982666666,41.95,18:00:05+00:00
